 Location:  5S 155W  16 Aug 1991 to 16 Nov 2013 (  268 times,  1 blocks) Gen. Date Feb 16 2014
 Units: Air Temperature (C), -9.99 = missing
 Time: 1200 16 Aug 1991 to 1200 16 Nov 2013 (index     1 to   268,  268 times)
 Depth (M):       -3 QUALITY
 YYYYMMDD HHMM  AIRT Q
 19910816 1200 27.94 1
 19910916 1200 27.73 1
 19911016 1200 27.97 1
 19911116 1200 28.28 1
 19911216 1200 28.47 1
 19920116 1200 28.30 1
 19920215 1200 28.43 1
 19920316 1200 28.52 1
 19920416 1200 28.77 1
 19920516 1200 28.74 1
 19920616 1200 28.41 1
 19920716 1200 28.10 1
 19920816 1200 27.74 1
 19920916 1200 27.42 1
 19921016 1200 27.66 1
 19921116 1200 27.55 1
 19921216 1200 27.61 1
 19930116 1200 27.59 1
 19930215 1200 27.64 1
 19930316 1200 27.98 1
 19930416 1200 28.64 1
 19930516 1200 29.00 1
 19930616 1200 28.88 1
 19930716 1200 28.48 1
 19930816 1200 27.90 1
 19930916 1200 27.98 1
 19931016 1200 28.03 1
 19931116 1200 28.01 1
 19931216 1200 28.03 1
 19940116 1200 27.71 1
 19940215 1200 27.86 1
 19940316 1200 27.84 1
 19940416 1200 28.39 1
 19940516 1200 28.67 1
 19940616 1200 28.54 1
 19940716 1200 28.18 1
 19940816 1200 28.03 1
 19940916 1200 27.87 1
 19941016 1200 27.51 1
 19941116 1200 27.42 4
 19941216 1200 27.85 4
 19950116 1200 27.73 4
 19950215 1200 27.21 4
 19950316 1200 27.36 4
 19950416 1200 27.47 4
 19950516 1200 27.38 4
 19950616 1200 27.38 4
 19950716 1200 26.96 4
 19950816 1200 26.67 4
 19950916 1200 26.20 4
 19951016 1200 25.92 4
 19951116 1200 26.19 4
 19951216 1200 25.90 4
 19960116 1200 26.59 1
 19960215 1200 26.58 1
 19960316 1200 27.09 1
 19960416 1200 27.74 1
 19960516 1200 27.88 1
 19960616 1200 27.68 1
 19960716 1200 27.29 1
 19960816 1200 27.25 1
 19960916 1200 27.12 1
 19961016 1200 27.25 1
 19961116 1200 27.00 1
 19961216 1200 27.06 1
 19970116 1200 27.05 1
 19970215 1200 27.37 1
 19970316 1200 27.53 1
 19970416 1200 28.15 1
 19970516 1200 28.41 1
 19970616 1200 28.38 1
 19970716 1200 28.58 1
 19970816 1200 28.48 1
 19970916 1200 28.59 1
 19971016 1200 28.77 1
 19971116 1200 28.30 1
 19971216 1200 28.83 1
 19980116 1200 28.11 1
 19980215 1200 27.69 1
 19980316 1200 27.54 1
 19980416 1200 27.99 1
 19980516 1200 28.34 1
 19980616 1200 28.22 1
 19980716 1200 27.83 1
 19980816 1200 26.47 1
 19980916 1200 27.18 1
 19981016 1200 27.00 1
 19981116 1200 26.79 2
 19981216 1200 26.45 2
 19990116 1200 26.72 2
 19990215 1200 26.77 2
 19990316 1200 27.41 2
 19990416 1200 27.70 2
 19990516 1200 28.06 2
 19990616 1200 27.64 2
 19990716 1200 27.32 2
 19990816 1200 26.85 2
 19990916 1200 26.62 2
 19991016 1200 26.72 2
 19991116 1200 26.50 2
 19991216 1200 26.06 2
 20000116 1200 25.98 2
 20000215 1200 26.22 2
 20000316 1200 26.84 2
 20000416 1200 27.77 2
 20000516 1200 28.04 2
 20000616 1200 27.72 2
 20000716 1200 27.44 2
 20000816 1200 27.07 2
 20000916 1200 26.90 2
 20001016 1200 26.93 2
 20001116 1200 27.24 2
 20001216 1200 27.05 2
 20010116 1200 27.29 2
 20010215 1200 27.65 2
 20010316 1200 27.90 2
 20010416 1200 28.51 2
 20010516 1200 28.92 2
 20010616 1200 28.85 2
 20010716 1200 28.46 2
 20010816 1200 27.96 2
 20010916 1200 27.90 2
 20011016 1200 27.43 4
 20011116 1200 27.87 4
 20011216 1200 -9.99 0
 20020116 1200 -9.99 0
 20020215 1200 27.77 4
 20020316 1200 28.16 4
 20020416 1200 28.55 4
 20020516 1200 -9.99 0
 20020616 1200 29.00 4
 20020716 1200 28.50 4
 20020816 1200 28.47 4
 20020916 1200 28.49 4
 20021016 1200 27.91 1
 20021116 1200 27.94 1
 20021216 1200 28.18 1
 20030116 1200 28.05 1
 20030215 1200 27.75 1
 20030316 1200 27.94 1
 20030416 1200 28.00 1
 20030516 1200 27.78 1
 20030616 1200 27.38 1
 20030716 1200 27.50 1
 20030816 1200 27.11 1
 20030916 1200 27.13 1
 20031016 1200 27.41 1
 20031116 1200 28.04 1
 20031216 1200 28.11 1
 20040116 1200 27.72 1
 20040215 1200 27.65 1
 20040316 1200 27.96 1
 20040416 1200 28.57 1
 20040516 1200 28.68 1
 20040616 1200 28.57 1
 20040716 1200 27.81 1
 20040816 1200 27.76 1
 20040916 1200 27.93 1
 20041016 1200 27.83 1
 20041116 1200 27.96 1
 20041216 1200 27.98 1
 20050116 1200 28.21 1
 20050215 1200 27.72 1
 20050316 1200 28.18 1
 20050416 1200 28.50 1
 20050516 1200 28.49 1
 20050616 1200 28.30 1
 20050716 1200 28.10 1
 20050816 1200 27.61 1
 20050916 1200 27.59 1
 20051016 1200 27.48 1
 20051116 1200 27.20 1
 20051216 1200 27.06 1
 20060116 1200 26.89 1
 20060215 1200 27.16 1
 20060316 1200 27.05 1
 20060416 1200 27.77 1
 20060516 1200 28.23 1
 20060616 1200 28.47 2
 20060716 1200 27.79 2
 20060816 1200 27.73 2
 20060916 1200 27.71 2
 20061016 1200 27.74 2
 20061116 1200 28.14 2
 20061216 1200 28.33 2
 20070116 1200 28.19 2
 20070215 1200 27.85 2
 20070316 1200 28.02 2
 20070416 1200 28.30 2
 20070516 1200 28.34 2
 20070616 1200 -9.99 0
 20070716 1200 -9.99 0
 20070816 1200 27.51 1
 20070916 1200 27.31 1
 20071016 1200 27.03 1
 20071116 1200 26.63 1
 20071216 1200 26.55 1
 20080116 1200 26.21 1
 20080215 1200 26.41 1
 20080316 1200 26.83 1
 20080416 1200 27.46 1
 20080516 1200 27.65 1
 20080616 1200 27.59 1
 20080716 1200 27.34 1
 20080816 1200 27.36 1
 20080916 1200 27.37 1
 20081016 1200 27.38 1
 20081116 1200 27.25 1
 20081216 1200 27.07 1
 20090116 1200 26.87 1
 20090215 1200 26.98 1
 20090316 1200 27.51 1
 20090416 1200 28.02 1
 20090516 1200 28.59 1
 20090616 1200 28.50 1
 20090716 1200 28.47 1
 20090816 1200 28.02 1
 20090916 1200 27.95 1
 20091016 1200 27.87 1
 20091116 1200 28.62 1
 20091216 1200 28.70 1
 20100116 1200 28.92 1
 20100215 1200 27.87 1
 20100316 1200 28.83 1
 20100416 1200 28.89 1
 20100516 1200 28.47 1
 20100616 1200 27.83 1
 20100716 1200 27.56 1
 20100816 1200 26.87 1
 20100916 1200 26.34 1
 20101016 1200 26.19 1
 20101116 1200 26.13 1
 20101216 1200 26.27 1
 20110116 1200 26.05 1
 20110215 1200 26.46 2
 20110316 1200 26.90 2
 20110416 1200 27.52 2
 20110516 1200 27.67 2
 20110616 1200 27.62 2
 20110716 1200 27.57 2
 20110816 1200 27.17 2
 20110916 1200 27.16 2
 20111016 1200 26.75 2
 20111116 1200 26.85 2
 20111216 1200 26.81 2
 20120116 1200 26.74 2
 20120215 1200 27.05 2
 20120316 1200 27.63 2
 20120416 1200 28.43 2
 20120516 1200 28.83 2
 20120616 1200 28.13 2
 20120716 1200 27.99 2
 20120816 1200 27.62 2
 20120916 1200 27.64 2
 20121016 1200 27.50 2
 20121116 1200 27.72 2
 20121216 1200 27.33 2
 20130116 1200 27.21 2
 20130215 1200 26.90 2
 20130316 1200 27.50 2
 20130416 1200 27.82 2
 20130516 1200 27.92 2
 20130616 1200 27.64 2
 20130716 1200 27.23 2
 20130816 1200 26.98 2
 20130916 1200 27.04 2
 20131016 1200 27.07 2
 20131116 1200 27.36 2
